Left-Weight,Left-Distance,Right-Weight,Right-Distance,Class Name
2,3,3,1,left
2,3,3,2,balanced
2,3,3,3,right
2,3,3,4,right
2,3,3,5,right
2,3,4,1,left
2,3,4,2,right
2,3,4,3,right
2,3,4,4,right
2,3,4,5,right
2,3,5,1,left
2,3,5,2,right
2,3,5,3,right
2,3,5,4,right
2,3,5,5,right
2,4,1,1,left
2,4,1,2,left
2,4,1,3,left
2,4,1,4,left
2,4,1,5,left
2,4,2,1,left
2,4,2,2,left
2,4,2,3,left
2,4,2,4,balanced
2,4,2,5,right
2,4,3,1,left
2,4,3,2,left
2,4,3,3,right
2,4,3,4,right
2,4,3,5,right
2,4,4,1,left
2,4,4,2,balanced
2,4,4,3,right
2,4,4,4,right
2,4,4,5,right
2,4,5,1,left
2,4,5,2,right
2,4,5,3,right
2,4,5,4,right
2,4,5,5,right
2,5,1,1,left
2,5,1,2,left
2,5,1,3,left
2,5,1,4,left
2,5,1,5,left
2,5,2,1,left
2,5,2,2,left
2,5,2,3,left
2,5,2,4,left
2,5,2,5,balanced
2,5,3,1,left
2,5,3,2,left
2,5,3,3,left
2,5,3,4,right
2,5,3,5,right
2,5,4,1,left
2,5,4,2,left
2,5,4,3,right
2,5,4,4,right
2,5,4,5,right
2,5,5,1,left
2,5,5,2,balanced
2,5,5,3,right
2,5,5,4,right
2,5,5,5,right
3,1,1,1,left
3,1,1,2,left
3,1,1,3,balanced
3,1,1,4,right
3,1,1,5,right
3,1,2,1,left
3,1,2,2,right
3,1,2,3,right
3,1,2,4,right
3,1,2,5,right
3,1,3,1,balanced
3,1,3,2,right
3,1,3,3,right
3,1,3,4,right
3,1,3,5,right
3,1,4,1,right
3,1,4,2,right
3,1,4,3,right
3,1,4,4,right
3,1,4,5,right
3,1,5,1,right
3,1,5,2,right
3,1,5,3,right
3,1,5,4,right
3,1,5,5,right
3,2,1,1,left
3,2,1,2,left
3,2,1,3,left
3,2,1,4,left
3,2,1,5,left
3,2,2,1,left
3,2,2,2,left
3,2,2,3,balanced
3,2,2,4,right
3,2,2,5,right
3,2,3,1,left
3,2,3,2,balanced
3,2,3,3,right
3,2,3,4,right
3,2,3,5,right
3,2,4,1,left
3,2,4,2,right
3,2,4,3,right
3,2,4,4,right
3,2,4,5,right
3,2,5,1,left
3,2,5,2,right
3,2,5,3,right
3,2,5,4,right
3,2,5,5,right
3,3,1,1,left
3,3,1,2,left
3,3,1,3,left
3,3,1,4,left
3,3,1,5,left
3,3,2,1,left
3,3,2,2,left
3,3,2,3,left
3,3,2,4,left
3,3,2,5,right
3,3,3,1,left
3,3,3,2,left
3,3,3,3,balanced
3,3,3,4,right
3,3,3,5,right
3,3,4,1,left
3,3,4,2,left
3,3,4,3,right
3,3,4,4,right
3,3,4,5,right
3,3,5,1,left
3,3,5,2,right
3,3,5,3,right
3,3,5,4,right
3,3,5,5,right
3,4,1,1,left
3,4,1,2,left
3,4,1,3,left
3,4,1,4,left
3,4,1,5,left
3,4,2,1,left
3,4,2,2,left
3,4,2,3,left
3,4,2,4,left
3,4,2,5,left
3,4,3,1,left
3,4,3,2,left
3,4,3,3,left
3,4,3,4,balanced
3,4,3,5,right
3,4,4,1,left
3,4,4,2,left
3,4,4,3,balanced
3,4,4,4,right
3,4,4,5,right
3,4,5,1,left
3,4,5,2,left
3,4,5,3,right
3,4,5,4,right
3,4,5,5,right
3,5,1,1,left
3,5,1,2,left
3,5,1,3,left
3,5,1,4,left
3,5,1,5,left
3,5,2,1,left
3,5,2,2,left
3,5,2,3,left
3,5,2,4,left
3,5,2,5,left
3,5,3,1,left
3,5,3,2,left
3,5,3,3,left
3,5,3,4,left
3,5,3,5,balanced
3,5,4,1,left
3,5,4,2,left
3,5,4,3,left
3,5,4,4,right
3,5,4,5,right
3,5,5,1,left
3,5,5,2,left
3,5,5,3,balanced
3,5,5,4,right
3,5,5,5,right
4,1,1,1,left
4,1,1,2,left
4,1,1,3,left
4,1,1,4,balanced
4,1,1,5,right
4,1,2,1,left
4,1,2,2,balanced
4,1,2,3,right
4,1,2,4,right
4,1,2,5,right
4,1,3,1,left
4,1,3,2,right
4,1,3,3,right
4,1,3,4,right
4,1,3,5,right
4,1,4,1,balanced
4,1,4,2,right
4,1,4,3,right
4,1,4,4,right
4,1,4,5,right
4,1,5,1,right
4,1,5,2,right
4,1,5,3,right
4,1,5,4,right
4,1,5,5,right
4,2,1,1,left
4,2,1,2,left
4,2,1,3,left
4,2,1,4,left
4,2,1,5,left
4,2,2,1,left
4,2,2,2,left
4,2,2,3,left
4,2,2,4,balanced
4,2,2,5,right
4,2,3,1,left
4,2,3,2,left
4,2,3,3,right
4,2,3,4,right
4,2,3,5,right
4,2,4,1,left
4,2,4,2,balanced
4,2,4,3,right
4,2,4,4,right
4,2,4,5,right
4,2,5,1,left
4,2,5,2,right
4,2,5,3,right
4,2,5,4,right
4,2,5,5,right
4,3,1,1,left
4,3,1,2,left
4,3,1,3,left
4,3,1,4,left
4,3,1,5,left
4,3,2,1,left
4,3,2,2,left
4,3,2,3,left
4,3,2,4,left
4,3,2,5,left
4,3,3,1,left
4,3,3,2,left
4,3,3,3,left
4,3,3,4,balanced
4,3,3,5,right
4,3,4,1,left
4,3,4,2,left
4,3,4,3,balanced
4,3,4,4,right
4,3,4,5,right
4,3,5,1,left
4,3,5,2,left
4,3,5,3,right
4,3,5,4,right
4,3,5,5,right
4,4,1,1,left
4,4,1,2,left
4,4,1,3,left
4,4,1,4,left
4,4,1,5,left
4,4,2,1,left
4,4,2,2,left
4,4,2,3,left
4,4,2,4,left
4,4,2,5,left
4,4,3,1,left
4,4,3,2,left
4,4,3,3,left
4,4,3,4,left
4,4,3,5,left
4,4,4,1,left
4,4,4,2,left
4,4,4,3,left
4,4,4,4,balanced
4,4,4,5,right
4,4,5,1,left
4,4,5,2,left
4,4,5,3,left
4,4,5,4,right
4,4,5,5,right
4,5,1,1,left
4,5,1,2,left
4,5,1,3,left
4,5,1,4,left
4,5,1,5,left
4,5,2,1,left
4,5,2,2,left
4,5,2,3,left
4,5,2,4,left
4,5,2,5,left
4,5,3,1,left
4,5,3,2,left
4,5,3,3,left
4,5,3,4,left
4,5,3,5,left
4,5,4,1,left
4,5,4,2,left
4,5,4,3,left
4,5,4,4,left
4,5,4,5,balanced
4,5,5,1,left
4,5,5,2,left
4,5,5,3,left
4,5,5,4,balanced
4,5,5,5,right
5,1,1,1,left
5,1,1,2,left
5,1,1,3,left
5,1,1,4,left
5,1,1,5,balanced
5,1,2,1,left
5,1,2,2,left
5,1,2,3,right
5,1,2,4,right
5,1,2,5,right
5,1,3,1,left
5,1,3,2,right
5,1,3,3,right
5,1,3,4,right
5,1,3,5,right
5,1,4,1,left
5,1,4,2,right
5,1,4,3,right
5,1,4,4,right
5,1,4,5,right
5,1,5,1,balanced
5,1,5,2,right
5,1,5,3,right
5,1,5,4,right
5,1,5,5,right
5,2,1,1,left
5,2,1,2,left
5,2,1,3,left
5,2,1,4,left
5,2,1,5,left
5,2,2,1,left
5,2,2,2,left
5,2,2,3,left
5,2,2,4,left
5,2,2,5,balanced
5,2,3,1,left
5,2,3,2,left
5,2,3,3,left
5,2,3,4,right
5,2,3,5,right
5,2,4,1,left
5,2,4,2,left
5,2,4,3,right
5,2,4,4,right
5,2,4,5,right
5,2,5,1,left
5,2,5,2,balanced
5,2,5,3,right
5,2,5,4,right
5,2,5,5,right
5,3,1,1,left
5,3,1,2,left
5,3,1,3,left
5,3,1,4,left
5,3,1,5,left
5,3,2,1,left
5,3,2,2,left
5,3,2,3,left
5,3,2,4,left
5,3,2,5,left
5,3,3,1,left
5,3,3,2,left
5,3,3,3,left
5,3,3,4,left
5,3,3,5,balanced
5,3,4,1,left
5,3,4,2,left
5,3,4,3,left
5,3,4,4,right
5,3,4,5,right
5,3,5,1,left
5,3,5,2,left
5,3,5,3,balanced
5,3,5,4,right
5,3,5,5,right
5,4,1,1,left
5,4,1,2,left
5,4,1,3,left
5,4,1,4,left
5,4,1,5,left
5,4,2,1,left
5,4,2,2,left
5,4,2,3,left
5,4,2,4,left
5,4,2,5,left
5,4,3,1,left
5,4,3,2,left
5,4,3,3,left
5,4,3,4,left
5,4,3,5,left
5,4,4,1,left
5,4,4,2,left
5,4,4,3,left
5,4,4,4,left
5,4,4,5,balanced
5,4,5,1,left
5,4,5,2,left
5,4,5,3,left
5,4,5,4,balanced
5,4,5,5,right
5,5,1,1,left
5,5,1,2,left
5,5,1,3,left
5,5,1,4,left
5,5,1,5,left
5,5,2,1,left
5,5,2,2,left
5,5,2,3,left
5,5,2,4,left
5,5,2,5,left
5,5,3,1,left
5,5,3,2,left
5,5,3,3,left
5,5,3,4,left
5,5,3,5,left
5,5,4,1,left
5,5,4,2,left
5,5,4,3,left
5,5,4,4,left
5,5,4,5,left
5,5,5,1,left
5,5,5,2,left
5,5,5,3,left
5,5,5,4,left
5,5,5,5,balanced
